handle_instagram,name_instagram,category_1,category_2,followers,audience_country,engagement_auth,engagement_avg,unified_cat_1,unified_cat_2
taehyung.bighitentertainment,TAEHYUNG (김태형) Updates,Management & Marketing,Music,10300000,Indonesia,2000000,2100000,Info/Business,Music
taeoxo_nct,TAEYONG 태용,,,8800000,Indonesia,1300000,1800000,,
taeyeon_ss,TaeYeon,Music,,18300000,South Korea,762000,925800,Music,
taina,Tainá Costa,Music,,15600000,Brazil,478300,998900,Music,
tamannaahspeaks,Tamannaah Bhatia,Music,Cinema & Actors/actresses,15900000,India,344400,401900,Music,Entertainment
tamerhosny,Tamer Hosny,Music,Cinema & Actors/actresses,22000000,Egypt,110500,134100,Music,Entertainment
tatawerneck,Tata Werneck,Cinema & Actors/actresses,Family,52100000,Brazil,80800,123500,Entertainment,Lifestyle
taylor_hill,Taylor Hill,Art/Artists,Fashion,18900000,United States,115500,172900,Entertainment,Beauty/Fashion
taylorswift,Taylor Swift,Music,,204700000,Brazil,2300000,3100000,Music,
tchalamet,Timothée Chalamet,Cinema & Actors/actresses,,17500000,United States,2300000,3800000,Entertainment,
teddysphotos,Ed Sheeran,Music,,37700000,United States,161000,219800,Music,
tejasswiprakash,Tejasswi Prakash,Beauty,,5500000,India,424700,513400,Beauty/Fashion,
tenlee_1001,TEN_+•10,Music,,9400000,Indonesia,1100000,1400000,Music,
teyanataylor,Jimmy Neutch- Shumpert,Music,,14600000,United States,153900,261200,Music,
thariqhalilintar,thoriq halilintar,Shows,,6500000,Indonesia,476900,590200,Entertainment,
thebursin,Kerem Bürsin,Cinema & Actors/actresses,,10300000,Russia,891200,1200000,Entertainment,
thedeverakonda,Vijay Deverakonda,Cinema & Actors/actresses,,14800000,India,984900,1200000,Entertainment,
theellenshow,Ellen DeGeneres,Shows,Cinema & Actors/actresses,116800000,United States,29200,33300,Entertainment,Entertainment
theestallion,Megan Thee Stallion,Music,,28200000,United States,504000,879900,Music,
thefatjewish,thefatjewish,Humor & Fun & Happiness,,10100000,United States,186900,244400,Entertainment,
thegirljt,JT🦋,Music,,5100000,United States,234400,641800,Music,
thehughjackman,,Cinema & Actors/actresses,,30300000,United States,107100,122400,Entertainment,
thenameisyash,Yash,Cinema & Actors/actresses,,5900000,India,813100,964900,Entertainment,
thenewclassic,Iggy Azalea,Music,,15800000,United States,233600,378200,Music,
thenotoriousmma,Conor McGregor Official,Fitness & Gym,,45000000,United States,435400,631500,Sports,
therealcalebmclaughlin,Caleb McLaughlin,Cinema & Actors/actresses,Lifestyle,11100000,Brazil,278700,398600,Entertainment,Lifestyle
therealjosephmorgan,Joseph Morgan,Cinema & Actors/actresses,Lifestyle,7800000,Brazil,411300,514100,Entertainment,Lifestyle
therock,therock,Cinema & Actors/actresses,Fitness & Gym,307000000,India,303400,396000,Entertainment,Sports
theshilpashetty,Shilpa Shetty Kundra,Cinema & Actors/actresses,,24800000,India,107100,124000,Entertainment,
theweeknd,The Weeknd,Music,,37500000,United States,725800,983900,Music,
thiagosilva,Thiago Silva,Sports with a ball,,18900000,Brazil,122800,207200,Sports,
thv,V,,,38100000,,12200000,12200000,,
tiagopzk,GOTTI A,Music,,4300000,Argentina,333400,761600,Music,
tiffanyyoungofficial,tiffany young,Modeling,Fashion,11600000,Indonesia,240500,301200,Beauty/Fashion,Beauty/Fashion
tigerjackieshroff,Tiger Shroff,Cinema & Actors/actresses,,33800000,India,331600,405000,Entertainment,
timatiofficial,13,Music,Fitness & Gym,18000000,Russia,151200,202400,Music,Sports
tinistoessel,tini,Music,,17400000,Argentina,631400,844700,Music,
todayis_wendy,Wendy,,,6300000,Indonesia,1100000,1300000,,
tombrady,Tom Brady,Sports with a ball,,11800000,United States,458600,847900,Sports,
tomcruise,Tom Cruise,Cinema & Actors/actresses,,6200000,India,465000,645700,Entertainment,
tommyinnit,TommyInnit,Lifestyle,,3600000,France,724800,817400,Lifestyle,
toni.kr8s,Toni Kroos,Sports with a ball,,31900000,Germany,178800,244100,Sports,
travisscott,flame,Music,,44800000,United States,1400000,2100000,Music,
trentarnold66,Trent Alexander-Arnold,Lifestyle,Sports with a ball,6600000,United Kingdom,298900,438300,Lifestyle,Sports
trippieredd,555,Music,,12800000,United States,530700,1000000,Music,
troyesivan,troye sivan,Art/Artists,Fashion,12600000,United States,157200,225600,Entertainment,Beauty/Fashion
trueno,TR1 ⛈,Music,,6700000,Argentina,479200,745700,Music,
twicetagram,TWICE,Music,Modeling,24600000,Indonesia,1300000,1600000,Music,Beauty/Fashion
txt_bighit,TOMORROW X TOGETHER OFFICIAL,,,11700000,Indonesia,637800,804900,,
tyga,T-Raww,Music,,32400000,United States,689200,1000000,Music,
tylerrjoseph,tyler jøseph,Music,Art/Artists,5500000,United States,628200,941300,Music,Entertainment
uarmyhope,jhope,,,32200000,South Korea,8000000,8000000,,
urassayas,Urassaya Sperbund,Cinema & Actors/actresses,Modeling,11400000,Thailand,181600,220800,Entertainment,Beauty/Fashion
urstrulymahesh,Mahesh Babu,Cinema & Actors/actresses,,8100000,India,527500,580400,Entertainment,
ursulolita,Úrsula Corberó ✨,Cinema & Actors/actresses,Modeling,24600000,Brazil,2000000,2900000,Entertainment,Beauty/Fashion
urvashirautela,URVASHI RAUTELA 🇮🇳,Cinema & Actors/actresses,,46400000,India,193400,229900,Entertainment,
valentinazenere,Valentina Zenere,Modeling,Lifestyle,8500000,Brazil,259000,315400,Beauty/Fashion,Lifestyle
valeyellow46,Valentino Rossi,Racing Sports,,13300000,Indonesia,310500,405300,Sports,
vancityreynolds,Ryan Reynolds,Cinema & Actors/actresses,,42400000,United States,325200,422400,Entertainment,
vanessahudgens,🔮Vanessa Hudgens🔮,Cinema & Actors/actresses,,44800000,United States,161100,262300,Entertainment,
vanessalopesr_,Vanessa Lopes,Lifestyle,,10600000,Brazil,171900,559700,Lifestyle,
vanessamorgan,Vanessa Morgan,Music,Cinema & Actors/actresses,9400000,United States,422300,600500,Music,Entertainment
varundvn,VarunDhawan,Cinema & Actors/actresses,,40900000,India,403400,492300,Entertainment,
veradijkmans,DUTCH🇳🇱,Adult content,,5100000,United States,390300,548600,Entertainment,
vickykaushal09,Vicky Kaushal,Cinema & Actors/actresses,,13200000,India,1300000,1500000,Entertainment,
victoriajustice,Victoria Justice,Music,Cinema & Actors/actresses,21800000,United States,226200,309800,Music,Entertainment
viihtube,Viih Tube,Cinema & Actors/actresses,,22900000,Brazil,148000,279900,Entertainment,
vindiesel,Vin Diesel,Cinema & Actors/actresses,,79000000,Brazil,440500,568500,Entertainment,
vinijr,Vinicius Jr. ⚡️🇧🇷,Sports with a ball,,15800000,Brazil,909400,1500000,Sports,
vinniehacker,†,Lifestyle,,5600000,United States,687000,1400000,Lifestyle,
violets.tv,Violet Summers,Adult content,,13500000,Italy,221300,303500,Entertainment,
virat.kohli,Virat Kohli,Sports with a ball,,188100000,India,3100000,3400000,Sports,
virgilvandijk,Virgil van Dijk,Sports with a ball,,11500000,United Kingdom,235400,333600,Sports,
virginia,Virginia Fonseca Costa,Shows,Lifestyle,35800000,Brazil,1400000,2100000,Entertainment,Lifestyle
vivi,Vivi Wanderley,Beauty,Lifestyle,13100000,Brazil,200000,328400,Beauty/Fashion,Lifestyle
vousmevoyez,KRYSTAL,Music,Cinema & Actors/actresses,10100000,Indonesia,366600,475800,Music,Entertainment
warriors,Golden State Warriors,Lifestyle,Sports with a ball,22200000,United States,81700,112800,Lifestyle,Sports
watanabenaomi703,渡辺直美　Naomi watanabe,Cinema & Actors/actresses,Humor & Fun & Happiness,9700000,Japan,339000,361000,Entertainment,Entertainment
waynerooney,Wayne Rooney,Sports with a ball,Lifestyle,15500000,United Kingdom,139800,201400,Sports,Lifestyle
wdohwan,우도환,Cinema & Actors/actresses,,4400000,Indonesia,504800,669000,Entertainment,
whinderssonnunes,Whindersson Nunes,Humor & Fun & Happiness,,57900000,Brazil,988300,1500000,Entertainment,
wi__wi__wi,위하준 Wi Ha Jun,,,10200000,South Korea,1100000,1400000,,
wilbursoot,Wilbur Soot,Music,,3200000,United States,687500,883100,Music,
willevy,William  Levy / Actor Producer,Shows,Cinema & Actors/actresses,10200000,Brazil,382900,514400,Entertainment,Entertainment
willsmith,Will Smith,Cinema & Actors/actresses,Music,62400000,United States,1900000,2400000,Entertainment,Music
willyrex,Willyrex,Shows,,8600000,Spain,324100,385100,Entertainment,
winmetawin,Win Metawin O.,Lifestyle,,11700000,Philippines,1300000,1500000,Lifestyle,
wizkidayo,BIG WIZ🦅,Music,,14200000,Nigeria,243300,473400,Music,
wolfiecindy,Cindy Kimberly,Modeling,Lifestyle,6900000,United States,226500,376700,Beauty/Fashion,Lifestyle
wos.ds3,Valentín Oliva,Music,,6300000,Argentina,371200,567400,Music,
wwiinn_7,WINWIN,,,7000000,Indonesia,1300000,1500000,,
xavi,Xavi Hernández,Sports with a ball,,8100000,Spain,419400,629100,Sports,
xeesoxee,한소희,Lifestyle,,8900000,Indonesia,1300000,1700000,Lifestyle,
xsqueezie,,Music,Lifestyle,7600000,France,519400,607300,Music,Lifestyle
xuminghao_o,The8 디에잇,Music,,4300000,Indonesia,615900,776200,Music,
xxxibgdrgn,권지용(權志龍),Photography,Fashion,20600000,Indonesia,785300,999100,Lifestyle,Beauty/Fashion
xxxtentacion,MAKE OUT HILL,Music,,20200000,United States,11800000,20800000,Music,
yailinlamasviralreal,Yailin la Mas Viral ♋️🧿,,,4300000,,0,859600,,
yangyang_x2,YangYang 양양,,,6100000,Indonesia,863400,1100000,,
yaocabrera,Yao Cabrera,,,12200000,Argentina,256000,556100,,
yasminabdelaziz_,Yasmin Abdelaziz,Cinema & Actors/actresses,,15400000,Egypt,185700,219900,Entertainment,
yasmine_sabri,Yasmine Sabri,Cinema & Actors/actresses,Lifestyle,18400000,Egypt,158400,222800,Entertainment,Lifestyle
yastunes,YAS,Music,,8000000,Iran,644000,894000,Music,
yawnzzn,YEONJUN,,,7400000,,0,4300000,,
yefersoncossio,Yef,Lifestyle,,8800000,Colombia,257000,376600,Lifestyle,
yejinhand,손예진,Cinema & Actors/actresses,,6000000,Indonesia,537100,699000,Entertainment,
yellow_3to3,REN JUN,,,5200000,Indonesia,1600000,2000000,,
yerimiese,Yeri,Lifestyle,,10100000,Indonesia,620300,768100,Lifestyle,
yihyun_1208,조이현 cho yihyun,,,5400000,South Korea,1300000,1600000,,
ykaaar,Damiano David/Måneskin,,,5100000,Italy,968100,1300000,,
yoona__lim,,Cinema & Actors/actresses,,13200000,Indonesia,571600,683200,Entertainment,
yooncy1,윤찬영 Yoon chanyoung,,,4900000,South Korea,1100000,1300000,,
youngdae0302,김영대,Music,,3800000,Indonesia,561400,741400,Music,
yugyeom,KYUM,Music,Art/Artists,10800000,Thailand,634200,821700,Music,Entertainment
yungmiami305,Caresha ..💗💋,Lifestyle,,5300000,United States,184600,547800,Lifestyle,
yuu_taa_1026,YUTA 悠太,,,7900000,Indonesia,1000000,1300000,,
yuyacst,𝓨𝒖𝒚𝒂,Modeling,,17100000,Mexico,389800,598200,Beauty/Fashion,
yuzi_chahal23,Yuzvendra Chahal,Lifestyle,Sports with a ball,7500000,India,311500,379500,Lifestyle,Sports
zacefron,Zac Efron,Cinema & Actors/actresses,,52100000,United States,598700,869300,Entertainment,
zachking,Zach King,Shows,Humor & Fun & Happiness,24500000,Indonesia,413900,637700,Entertainment,Entertainment
zayn,Zayn Malik,Music,,44900000,India,3700000,5800000,Music,
zefelipecantor,Zé,Music,,23100000,Brazil,278100,487800,Music,
zelenskiy_official,Володимир Зеленський,Cinema & Actors/actresses,Business & Careers,16400000,Ukraine,174000,208100,Entertainment,Info/Business
zendaya,Zendaya,Cinema & Actors/actresses,Fashion,136100000,United States,6400000,8600000,Entertainment,Beauty/Fashion
zidane,zidane,Sports with a ball,,31200000,Spain,546000,744100,Sports,
zkdlin,KAI,Music,,13900000,Indonesia,1300000,1600000,Music,
zoeisabellakravitz,Zoë Kravitz,Cinema & Actors/actresses,,8200000,United States,583000,885500,Entertainment,
zoesugg,Zoë Sugg,Lifestyle,Business & Careers,9400000,United Kingdom,208700,289300,Lifestyle,Info/Business
