rank,handle_tiktok,name_tiktok,followers,views_avg,likes_avg,comments_avg,shares_avg,_platform,_month,_year
566,lonrot,Lonrot,1.3M,3.3M,386.8K,1.8K,5.2K,tiktok,june,2022
567,lorenzosabatoo,Lorenzo Sabato,160.5K,1.6M,223.7K,2.6K,6.1K,tiktok,june,2022
568,lorigreiner,Lori Greiner,1.8M,5.9M,379K,2.9K,1.5K,tiktok,june,2022
569,losariasbrothers,Los Arias,1.3M,2M,376K,1.2K,2.2K,tiktok,june,2022
570,lossiblings_,Lossiblings🍭,25.2M,2.2M,300.8K,891,380,tiktok,june,2022
571,louflores_,DIY | Home Decor | Makeup,2.8M,1.9M,150.4K,1.1K,4.8K,tiktok,june,2022
572,louisematejczyk,Louisamatejczyk,389.3K,2.9M,154.5K,642,1.3K,tiktok,june,2022
573,lowcarbstateofmind,Jackie Hartlaub,6.5M,1.9M,145.4K,656,6.4K,tiktok,june,2022
574,luadoll,루아 LuA,11.2M,3M,326.3K,661,2.4K,tiktok,june,2022
575,lucas_burgatti,Lucas Burgatti,2.7M,3.3M,428.2K,1.6K,1.4K,tiktok,june,2022
576,lucaslopezvilet,Lucas Lopez,2.6M,4M,827.8K,5.9K,8.8K,tiktok,june,2022
577,lucaspopan,Lucas Popan,938K,1.8M,207.7K,2.2K,5.3K,tiktok,june,2022
578,lucasvarelaaaa,Lucas varela,2.7M,1.7M,307.6K,690,3.6K,tiktok,june,2022
579,lucifer_zam,Luzbel Zam,198.5K,777.2K,196.5K,451,34.5K,tiktok,june,2022
580,lukeeohalloran,Luke O'Halloran,1M,3.4M,302.3K,3K,4.9K,tiktok,june,2022
581,luongthingocha,Ngân Hà🍌,5.5M,2.9M,350K,1.8K,346,tiktok,june,2022
582,luongthingocha,Ngân Hà🍌,5.5M,2.9M,350K,1.8K,346,tiktok,june,2022
583,luvadepedreiro,Iran Ferreira (Lai),17.1M,5.9M,706.2K,5.5K,3K,tiktok,june,2022
584,lyfstyle.tv,Da Frontyardigans,356.3K,903.5K,267.6K,1.5K,2.7K,tiktok,june,2022
585,lyleforever,Therapy Gecko (Lyle),2.4M,1.8M,398.9K,696,2K,tiktok,june,2022
586,lyricoo__,ʟʏʀɪᴄᴏᴏ,1.2M,1.3M,165.7K,1.7K,8.6K,tiktok,june,2022
587,m0lnigt,Sandra,83.3K,1.4M,306.4K,2.7K,934,tiktok,june,2022
588,m7_x4,محمد شايف,2M,3.4M,305.6K,2K,1.5K,tiktok,june,2022
589,mac.twinkles,สามีแห่งชาติ,1.3M,2.8M,311.9K,497,458,tiktok,june,2022
590,machikayt,MachikaYT,12.5M,1.9M,264.5K,1.3K,301,tiktok,june,2022
591,machinegunkelly,Colson,3.6M,3.9M,444.7K,3.8K,3K,tiktok,june,2022
592,maddy.leah3,Not me,240.9K,2.9M,281.9K,6.7K,294,tiktok,june,2022
593,maddzak,Maddzak,4.5M,2.3M,128.5K,4.4K,109,tiktok,june,2022
594,madudepaoli,Madu💫,1.1M,7.5M,723.8K,2.9K,1.4K,tiktok,june,2022
